reaudit_id,dataset,repo,test_short,test_prompt,original_label,still_agree,corrected_label,reason,confidence,agreement_rule_note
73,nlp,gnuuuuu,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"it uses a per-item Python loop to decode/clean batch samples, which can be replaced by tokenizer.batch_decode(...) + vectorized pandas.Series.str.replace(...).",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
74,diabetic,ayushrathor,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"The evidence shows minimal preprocessing and missing validation checks but does not show any actual loading/preprocessing failure (e.g., corrupt reads, all-black images present, invalid labels), so the FAIL isn’t justified.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
75,nlp,julyju,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,"They’re right that the repo doesn’t include any label-permutation experiment + re-train + val accuracy report, so the required evidence is missing.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
76,nlp,mahmoudlimam,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The cited .apply(axis=""columns""), punctuation-removal loop, and wordcount .apply() all have direct vectorized pandas replacements (str.cat, str.replace(..., regex=True), str.split().str.len()), so FAIL is justified under that strict rule.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
77,nlp,muhammadareebkhan,deterministic_accuracy,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.,Correct,Yes,Fail,"If df.sample(frac=1) has no random_state and train_test_split (or HF train_test_split) has no seed, repeated runs can yield different splits and thus different eval accuracy. Unless the notebook sets global seeds elsewhere (not shown), FAIL is justified.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
78,diabetic,ruthranb,class_imbalance,Any class-imbalance handling (weighted loss / sampler) applies only to training data.,Incorrect,Yes,Pass,"Using a weighted loss during validation affects only the reported validation loss (not the model’s predictions), so it isn’t a clear violation of “imbalance handling applies only to training” under the less-strict interpretation.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
79,titanic,badavathnaveen,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Incorrect,Yes,Pass,Iterating over DataLoader in val/test is standard and often necessary for memory; the suggested “single forward over all val/test” isn’t a required correctness improvement and is an overly strict interpretation of the rule.,,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
80,nlp,samshen,class_imbalance,Any class-imbalance handling (weighted loss / sampler) applies only to training data.,Correct,No,Inconclusive,"There is no weighted loss/sampler at all, so nothing is being (mis)applied to val/test.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
81,nlp,aadimator,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,EDA/token-count blocks use nested Python loops where the exact same outputs can be produced via vectorized str.split().explode().value_counts() pipelines.,,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
82,nlp,saeedkhan01,correct_metric_definition,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).",Correct,Yes,Fail,"Averaging per-batch accuracies is not the standard definition of overall accuracy (total correct / total samples), so “Val Acc” as reported is definitionally wrong.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
83,nlp,ambrustorok,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Correct,Yes,Fail,"The FAIL is correct because even if .to(device) is used, calling .item() on CUDA tensors and converting CUDA outputs to Python ints without an explicit .cpu() introduces implicit GPU→CPU transfers, and there’s no explicit dtype policy.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
84,diabetic,phmialong,deterministic_accuracy,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.,Correct,Yes,Fail,"The notebook evaluates on a training generator that applies random augmentations at inference time, so repeated evaluations can yield different accuracies.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
85,nlp,akhilakamma,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,"The report correctly flags that the repo never runs (or records) a label-permutation experiment, so the requirement isn’t demonstrated.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
86,nlp,sergiouribe10,outperforms_baseline,"The model after the full training procedure outperforms a simple baseline (e.g., random or majority class) on an evaluation set.",Correct,No,Inconclusive,"No baseline is computed and there’s no labeled eval split to compare against, so FAIL is justified.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
87,titanic,kaiyoo88,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"The evidence shows everything is created on the default CPU and used consistently (no .cuda()/.to() anywhere), so there are no implicit CPU↔GPU transfers; lack of an explicit “device policy” isn’t a violation of the stated criterion by itself.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
88,nlp,hanifalirsyad,parameter_updates,"If there is any model training, then all model parameters are updated during training (no frozen layers unless explicitly intended).",Correct,No,Inconclusive,"Optimizing only model.classifier params means the backbone won’t update, so failing this “all params updated” test is warranted.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
89,nlp,vladlen32230,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,No,Inconclusive,"The FAIL is correct because the notebook tokenizes raw text with no explicit cleaning/normalization or assertions for missing/empty strings or unexpected characters, so it doesn’t ensure the stated preprocessing conditions.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
90,diabetic,munchic,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Correct,Yes,Fail,"Validation uses SubsetRandomSampler and the test loader even uses the training sampler, which directly violates the “val/test do not shuffle” requirement.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
91,titanic,trushildhokiya,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,There’s no label-randomization experiment or validation-accuracy check under randomized labels.,,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
92,diabetic,makerlin,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,Yes,Fail,"The dataset code has a concrete execution-breaking bug (uses os.path.join without importing os), so data cannot be reliably loaded/preprocessed correctly as claimed.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
93,titanic,yzxycst,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Incorrect,No,Inconclusive,"No label-randomization experiment is shown, so this should be Inconclusive, not FAIL.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
94,titanic,alaapdhall,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Incorrect,No,Inconclusive,"train_test_split shuffling (and the lack of DataLoaders) doesn’t violate the “val/test not shuffled” intent; the real issue would be “no explicit training-time shuffling per epoch / no DataLoader shuffle control,” not that val/test are “shuffled.”",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
95,titanic,xxxzedmy,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,Yes,Fail,"Evidence shows PassengerId is kept as a feature and fed to the model, and LabelEncoder is refit separately on train vs test (can create inconsistent category mappings), which is legitimately incorrect preprocessing.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
96,titanic,davidhunter12,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Incorrect,No,Inconclusive,"If they aren’t using a DataLoader and are training directly on tensors/arrays, “shuffle” isn’t a required correctness property unless the rubric explicitly mandates mini-batch SGD; at most this is Not applicable/Inconclusive, not a definite FAIL.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
97,nlp,samshen,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"“No AMP/bf16” is not a failure (fp32 everywhere is consistent) and you need explicit evidence of mixed-device tensors/model in the same path, not just “Keras doesn’t set tf.device”.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
98,nlp,dima806,no_train_test_leakage,"No leakage from test to train/val sets. If there is any model selection or hyperparameter tuning, then it uses val only.",Correct,Yes,Fail,"If processed_dataset['test'] is used as eval_dataset and load_best_model_at_end=True, then the “test” split is being used for model selection (best checkpoint), which violates “test is only for final evaluation.”",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
99,titanic,yassineramdani,deterministic_accuracy,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.,Correct,No,Inconclusive,"The repo doesn’t compute accuracy at all (only loss), so it cannot demonstrate deterministic accuracy.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
100,titanic,heucym,tiny_batch_overfit,The model can overfit a single (or tiny) batch to near-zero loss.,Incorrect,No,Inconclusive,"A RandomForest trained via sklearn doesn’t use mini-batch gradient descent or “loss” in the SGD sense, so this test is not applicable here",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
